"Code","Year","Site","lat","lon","Plot.size..m2.","ele","Aspect","SR.w.m2","Degree.easting","Degree.northing","Average.slope","Quadrat","Acaena.novae.zelandiae","Acetosella.vulgaris","Aciphylla.glacialis","Acrothamnus.montanus","Agrostis.sp.","Agrostis.venusta","Ajuga.australis","Anthosachne.scabra","Argyrotegium.fordianum","Arthropodium.milleflorum","Asperula.gunnii","Asperula.scoparia","Asterolasia.trymalioides.subsp..trymalioides","Austrostipa.nivicola","Baeckea.gunniana","Bossiaea.foliosa","Bossiaea.sericea","Brachyscome.nivalis","Brachyscome.rigidula","Brachyscome.spathulata","Bulbine.glauca","Cardamine.lilacina","Carex.breviculmis","Carex.hebes","Celmisia.costiniana","Celmisia.latifolia","Celmisia.pugioniformis","Cerastium.vulgare","Chrysocephalum.semipapposum.subsp..lineare","Colobanthus.affinis","Coronidium.monticola","Craspedia.adenophora","Craspedia.aurantia","Craspedia.gracilis","Craspedia.lamicola","Craspedia.spp.","Crassula.sieberiana","Deyeuxia.carinata","Deyeuxia.monticola","Epacris.gunnii","Eucalyptus.pauciflora","Euphrasia.sp.","Euphrasia.collina","Euphrasia.crassiuscula.subsp..glandulifera","Euryomyrtus.ramosissima.subsp..ramosissima","Ewartia.nubigena","Gentianella.muelleriana","Geranium.sp.","Gonocarpus.montanus","Gonocarpus.micranthus.subsp..micranthus","Goodenia.hederacea.subsp..alpestris","Grevillea.australis","Hovea.montana","Hypochaeris.radicata","Kunzea.muelleri","Leionema.phylicifolium","Leptorhynchos.squamatus.subsp..alpinus","Leucochrysum.albicans.subsp..albicans","Lomandra.filiformis.subsp..coriacea","Luzula.acutifolia.subsp..acutifolia","Luzula.modesta","Luzula.novae.cambriae","Luzula.sp.","Melicytus.angustifolius.subsp..divaricatus","Microseris.lanceolata","Montia.australasica","Olearia.brevipedunculata","Olearia.frostii","Olearia.phlogopappa.subsp..flavescens","Oreomyrrhis.eriopoda","Orites.lancifolius","Ozothamnus.alpinus","Pappochroma.bellidioides","Pappochroma.nitidum","Pentachondra.pumila","Phebalium.squamulosum.subsp..alpinum","Pimelea.alpina","Pimelea.axiflora.subsp..alpina","Plantago.euryphylla","Poa.fawcettiae","Poa.hiemata","Poa.hothamensis","Podolepis.robusta","Podolobium.alpestre","Prasophyllum.sp.","Prostanthera.cuneata","Ranunculus.muelleri","Ranunculus.victoriensis","Rhodanthe.anthemoides","Rytidosperma.alpicola","Rytidosperma.erianthum","Rytidosperma.nudiflorum","Rytidosperma.oreophilum","Rytidosperma.pallidum","Rytidosperma.penicillatum","Rytidosperma.sp.","Scleranthus.biflorus","Scleranthus.diander","Scleranthus.singulaflorus","Senecio.gunnii","Senecio.pinnatifolius.var..alpinus","Stackhousia.monogyna","Stelleria.pungens","Stylidium.armeria.subsp..armeria","Stylidium.graminifolium","Trisetum.spicatum","Viola.betonicifolia.subsp..betonicifolia","Wahlenbergia.gloriosa","Xerochrysum.subundulatum"
"2022_BF_N_BF1",2022,"BF",-37.241018,146.483143,1742,1688.912842,"N",959.0666606,0,1,9.73247708,"BF1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0
"2022_BF_N_BF2",2022,"BF",-37.241018,146.483143,1742,1688.912842,"N",959.0666606,0,1,9.73247708,"BF2",0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,40,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
"2022_BF_N_BF3",2022,"BF",-37.241018,146.483143,1742,1688.912842,"N",959.0666606,0,1,9.73247708,"BF3",0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
"2022_BF_N_BF4",2022,"BF",-37.241018,146.483143,1742,1688.912842,"N",959.0666606,0,1,9.73247708,"BF4",0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
"2022_BF_N_BF5",2022,"BF",-37.241018,146.483143,1742,1688.912842,"N",959.0666606,0,1,9.73247708,"BF5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,4,0,0,65,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0
"2022_BF_W_BF6",2022,"BF",-37.241018,146.483143,1742,1688.912842,"W",865.5723245,-1,1.1e-05,13.71437061,"BF6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2022_BF_W_BF7",2022,"BF",-37.241018,146.483143,1742,1688.912842,"W",865.5723245,-1,1.1e-05,13.71437061,"BF7",0,0,0,5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,5,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,5,0,0,0,0,0,1,0,0,0.5,0,5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"2022_BF_W_BF8",2022,"BF",-37.241018,146.483143,1742,1688.912842,"W",865.5723245,-1,1.1e-05,13.71437061,"BF8",0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,5,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0.5,0,0,0
"2022_BF_W_BF9",2022,"BF",-37.241018,146.483143,1742,1688.912842,"W",865.5723245,-1,1.1e-05,13.71437061,"BF9",0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,15,0,0,0,0,0,10,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,5,0,0,5,0,0,0
"2022_BF_W_BF10",2022,"BF",-37.241018,146.483143,1742,1688.912842,"W",865.5723245,-1,1.1e-05,13.71437061,"BF10",0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,5,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
"2022_BF_S_BF11",2022,"BF",-37.241018,146.483143,1742,1688.912842,"S",892.0275409,-7.35e-06,-1,11.45845131,"BF11",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0
"2022_BF_S_BF12",2022,"BF",-37.241018,146.483143,1742,1688.912842,"S",892.0275409,-7.35e-06,-1,11.45845131,"BF12",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,10,0,0,75,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2022_BF_S_BF13",2022,"BF",-37.241018,146.483143,1742,1688.912842,"S",892.0275409,-7.35e-06,-1,11.45845131,"BF13",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,5,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,1,0,0,30,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"2022_BF_S_BF14",2022,"BF",-37.241018,146.483143,1742,1688.912842,"S",892.0275409,-7.35e-06,-1,11.45845131,"BF14",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,10,0,0,0,30,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
"2022_BF_S_BF15",2022,"BF",-37.241018,146.483143,1742,1688.912842,"S",892.0275409,-7.35e-06,-1,11.45845131,"BF15",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,5,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"2022_BF_E_BF16",2022,"BF",-37.241018,146.483143,1742,1688.912842,"E",964.3866359,1,-3.67e-06,7.476557779,"BF16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,40,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,15,0,0,0,10,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"2022_BF_E_BF17",2022,"BF",-37.241018,146.483143,1742,1688.912842,"E",964.3866359,1,-3.67e-06,7.476557779,"BF17",0,1,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,5,0,0,0,70,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2022_BF_E_BF18",2022,"BF",-37.241018,146.483143,1742,1688.912842,"E",964.3866359,1,-3.67e-06,7.476557779,"BF18",0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,60,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,5,0,0,15,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0
"2022_BF_E_BF19",2022,"BF",-37.241018,146.483143,1742,1688.912842,"E",964.3866359,1,-3.67e-06,7.476557779,"BF19",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0.5,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0
"2022_BF_E_BF20",2022,"BF",-37.241018,146.483143,1742,1688.912842,"E",964.3866359,1,-3.67e-06,7.476557779,"BF20",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,20,5,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,10,0,0,35,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
"2022_H_NW_H1",2022,"H",-36.97474304,147.130572,5000,1867.303833,"NW",928.8367654,-0.70709769,0.707115872,5.710593137,"H1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,15,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,5,0,0,20,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"2022_H_NW_H2",2022,"H",-36.97474304,147.130572,5000,1867.303833,"NW",928.8367654,-0.70709769,0.707115872,5.710593137,"H2",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0.5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
"2022_H_NW_H3",2022,"H",-36.97474304,147.130572,5000,1867.303833,"NW",928.8367654,-0.70709769,0.707115872,5.710593137,"H3",0,0.5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,20,0,0.5,35,0,15,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,25,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0
"2022_H_NW_H4",2022,"H",-36.97474304,147.130572,5000,1867.303833,"NW",928.8367654,-0.70709769,0.707115872,5.710593137,"H4",0,0,0,0,0,10,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,65,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0.5,0,0,5,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0
"2022_H_NW_H5",2022,"H",-36.97474304,147.130572,5000,1867.303833,"NW",928.8367654,-0.70709769,0.707115872,5.710593137,"H5",0,1,5,10,0,1,0,0,0,0,1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,20,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,45,0,1,0,0,10,0,0,5,0,0,0,0,5,0,0,0,0,0.5,0,0,1,0,0,0,5,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2022_H_SW_H6",2022,"H",-36.97474304,147.130572,5000,1867.303833,"SW",905.4676145,-0.707113275,-0.707100288,5.710593137,"H6",0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,30,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"2022_H_SW_H7",2022,"H",-36.97474304,147.130572,5000,1867.303833,"SW",905.4676145,-0.707113275,-0.707100288,5.710593137,"H7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,35,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2022_H_SW_H8",2022,"H",-36.97474304,147.130572,5000,1867.303833,"SW",905.4676145,-0.707113275,-0.707100288,5.710593137,"H8",0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2022_H_SW_H9",2022,"H",-36.97474304,147.130572,5000,1867.303833,"SW",905.4676145,-0.707113275,-0.707100288,5.710593137,"H9",0,0,1,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,5,0,0,0,0,0,0,15,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,35,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,25,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2022_H_SW_H10",2022,"H",-36.97474304,147.130572,5000,1867.303833,"SW",905.4676145,-0.707113275,-0.707100288,5.710593137,"H10",0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0.5,40,0,10,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"2022_H_SE_H11",2022,"H",-36.97474304,147.130572,5000,1867.303833,"SE",935.5220947,0.707102885,-0.707110677,5.710593137,"H11",0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,10,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,5,0,0,25,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
"2022_H_SE_H12",2022,"H",-36.97474304,147.130572,5000,1867.303833,"SE",935.5220947,0.707102885,-0.707110677,5.710593137,"H12",0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,5,0,10,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0
"2022_H_SE_H13",2022,"H",-36.97474304,147.130572,5000,1867.303833,"SE",935.5220947,0.707102885,-0.707110677,5.710593137,"H13",0,0,0,0,0,0,0,0,0,0,0.5,0,5,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,35,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0
