Site,Elevation,Aspect,Slope,Degree,Lat,Long
BF,1710,NE,6.072456407,45,-37.23468301,146.48998
BF,1710,NW,13.39249775,315,-37.23468301,146.48998
BF,1710,SE,8.880659151,135,-37.23468301,146.48998
BF,1710,SW,14.03624347,225,-37.23468301,146.48998
H,1900,E,5.710593137,90,-36.97450601,147.132274
H,1900,N,5.710593137,0,-36.97450601,147.132274
H,1900,S,5.710593137,180,-36.97450601,147.132274
H,1900,W,5.710593137,270,-36.97450601,147.132274
KB,1690,E,14.74356284,90,-37.20246601,146.600757
KB,1690,N,5.710593137,0,-37.20246601,146.600757
KB,1690,S,6.632514615,180,-37.20246601,146.600757
KB,1690,W,8.615648184,270,-37.20246601,146.600757
MBo,1950,E,5.710593137,90,-36.73287501,147.30579
MBo,1950,N,5.710593137,0,-36.73287501,147.30579
MBo,1950,S,5.710593137,180,-36.73287501,147.30579
MBo,1950,W,5.710593137,270,-36.73287501,147.30579
MBu,1805,E,17.35402464,90,-37.14502101,146.425278
MBu,1805,N,14.74356284,0,-37.14502101,146.425278
MBu,1805,S,15.524111,180,-37.14502101,146.425278
MBu,1805,W,16.38954033,270,-37.14502101,146.425278
MH,1740,NE,10.88552705,45,-37.17425401,146.650585
MH,1740,NW,18.43494882,315,-37.17425401,146.650585
MH,1740,SE,7.907162703,135,-37.17425401,146.650585
MH,1740,SW,5.710593137,225,-37.17425401,146.650585
MHW,1720,E,9.162347046,90,-37.17599001,146.641849
MHW,1720,N,17.35402464,0,-37.17599001,146.641849
MHW,1720,S,12.80426607,180,-37.17599001,146.641849
MHW,1720,W,14.03624347,270,-37.17599001,146.641849
MM,1730,E,5.710593137,90,-37.189701,146.6212
MM,1730,N,14.74356284,0,-37.189701,146.6212
MM,1730,S,10.72444854,180,-37.189701,146.6212
MM,1730,W,10.88552705,270,-37.189701,146.6212
MSp,1660,E,18.55023193,90,-37.125341,146.643399
MSp,1660,N,10.12467166,0,-37.125341,146.643399
MSp,1660,S,19.65382406,180,-37.125341,146.643399
MSp,1660,W,6.952957468,270,-37.125341,146.643399
MSt,1750,E,21.03751103,90,-37.127997,146.498937
MSt,1750,N,5.710593137,0,-37.127997,146.498937
MSt,1750,S,12.26477373,180,-37.127997,146.498937
MSt,1750,W,14.03624347,270,-37.127997,146.498937
F,1850,NE,17.35402464,45,-36.89413201,147.139063
F,1850,NW,14.03624347,315,-36.89413201,147.139063
F,1850,SE,19.65382406,135,-36.89413201,147.139063
F,1850,SW,16.38954033,225,-36.89413201,147.139063
LSK,1670,E,9.462322208,90,-36.82634301,147.281539
LSK,1670,N,16.29879638,0,-36.82634301,147.281539
LSK,1670,S,10.49147701,180,-36.82634301,147.281539
LSK,1670,W,8.017093074,270,-36.82634301,147.281539
MF,1870,E,5.710593137,90,-36.829469,147.319257
MF,1870,N,5.710593137,0,-36.829469,147.319257
MF,1870,S,5.710593137,180,-36.829469,147.319257
MF,1870,W,5.710593137,270,-36.829469,147.319257
TT,1705,E,8.130102354,90,-37.022981,147.057204
TT,1705,N,13.39249775,0,-37.022981,147.057204
TT,1705,S,5.710593137,180,-37.022981,147.057204
TT,1705,W,9.950626688,270,-37.022981,147.057204